Date,Employee,Attendance,Status,Late_Minutes,Fine
2023-01-02,Person_56,09:16-16:43,DANGER,16,100
2023-01-02,Person_57,09:16-16:43,DANGER,16,100
2023-01-02,Person_58,09:01-17:05,DANGER,1,50
2023-01-02,Person_60,09:10-17:22,DANGER,10,50
2023-01-02,Person_61,09:12-17:24,DANGER,12,50
2023-01-02,Person_64,09:08-16:42,DANGER,8,50
2023-01-02,Person_65,09:02-17:06,DANGER,2,50
2023-01-02,Person_66,09:15-17:13,DANGER,15,50
2023-01-02,Person_70,09:01-17:06,DANGER,1,50
2023-01-02,Person_73,09:01-17:06,DANGER,1,50
2023-01-02,Person_74,09:14-17:20,DANGER,14,50
2023-01-02,Person_75,09:25-16:54,DANGER,25,100
2023-01-02,Person_77,09:08-17:01,DANGER,8,50
2023-01-02,Person_78,09:03-17:08,DANGER,3,50
2023-01-02,Person_79,09:21-17:06,DANGER,21,100
2023-01-02,Person_83,09:09-16:46,DANGER,9,50
2023-01-02,Person_84,09:11-17:34,DANGER,11,50
2023-01-02,Person_87,09:12-16:51,DANGER,12,50
2023-01-02,Person_88,09:29-16:50,DANGER,29,100
2023-01-02,Person_91,09:03-17:02,DANGER,3,50
2023-01-02,Person_92,09:07-17:11,DANGER,7,50
2023-01-02,Person_94,09:10-17:18,DANGER,10,50
2023-01-02,Person_96,09:10-16:54,DANGER,10,50
2023-01-02,Person_97,09:12-16:55,DANGER,12,50
2023-01-02,Person_99,09:04-17:14,DANGER,4,50
2023-01-03,Person_2,09:04-16:47,DANGER,4,50
2023-01-03,Person_4,09:20-17:08,DANGER,20,100
2023-01-03,Person_8,09:01-16:59,DANGER,1,50
2023-01-03,Person_13,09:16-16:49,DANGER,16,100
2023-01-03,Person_16,09:10-16:51,DANGER,10,50
2023-01-03,Person_19,09:07-16:46,DANGER,7,50
2023-01-03,Person_20,09:17-16:56,DANGER,17,100
2023-01-03,Person_21,09:16-16:52,DANGER,16,100
2023-01-03,Person_22,09:14-17:15,DANGER,14,50
2023-01-03,Person_25,09:12-16:52,DANGER,12,50
2023-01-03,Person_26,09:14-16:47,DANGER,14,50
2023-01-03,Person_30,09:20-17:03,DANGER,20,100
2023-01-03,Person_33,09:17-16:47,DANGER,17,100
2023-01-03,Person_34,09:09-17:00,DANGER,9,50
2023-01-03,Person_35,09:15-17:05,DANGER,15,50
2023-01-03,Person_39,09:10-16:48,DANGER,10,50
2023-01-03,Person_42,09:05-17:26,DANGER,5,50
2023-01-03,Person_43,09:04-17:17,DANGER,4,50
2023-01-03,Person_44,09:12-16:48,DANGER,12,50
2023-01-03,Person_48,09:11-17:08,DANGER,11,50
2023-01-03,Person_50,09:16-16:54,DANGER,16,100
2023-01-03,Person_52,09:09-16:56,DANGER,9,50
2023-01-03,Person_53,09:22-17:08,DANGER,22,100
2023-01-03,Person_55,09:04-17:03,DANGER,4,50
2023-01-03,Person_56,09:02-17:06,DANGER,2,50
2023-01-03,Person_57,09:10-16:52,DANGER,10,50
2023-01-03,Person_61,09:06-17:33,DANGER,6,50
2023-01-03,Person_63,09:04-16:49,DANGER,4,50
2023-01-03,Person_65,09:08-16:59,DANGER,8,50
2023-01-03,Person_66,09:19-17:07,DANGER,19,100
2023-01-03,Person_67,09:02-16:54,DANGER,2,50
2023-01-03,Person_68,09:09-17:35,DANGER,9,50
2023-01-03,Person_70,09:12-16:45,DANGER,12,50
2023-01-03,Person_72,09:04-17:07,DANGER,4,50
2023-01-03,Person_74,09:06-17:15,DANGER,6,50
2023-01-03,Person_75,09:15-16:50,DANGER,15,50
2023-01-03,Person_77,09:09-16:38,DANGER,9,50
2023-01-03,Person_78,09:04-16:59,DANGER,4,50
2023-01-03,Person_79,09:10-16:59,DANGER,10,50
2023-01-03,Person_81,09:01-17:13,DANGER,1,50
2023-01-03,Person_82,09:13-16:47,DANGER,13,50
2023-01-03,Person_83,09:12-16:54,DANGER,12,50
2023-01-03,Person_84,09:28-16:26,DANGER,28,100
2023-01-03,Person_86,09:05-17:30,DANGER,5,50
2023-01-03,Person_87,09:02-16:41,DANGER,2,50
2023-01-03,Person_88,09:13-16:47,DANGER,13,50
2023-01-03,Person_91,09:05-17:05,DANGER,5,50
2023-01-03,Person_92,09:11-17:16,DANGER,11,50
2023-01-03,Person_95,09:02-16:50,DANGER,2,50
2023-01-03,Person_96,09:18-17:27,DANGER,18,100
2023-01-03,Person_97,09:08-17:01,DANGER,8,50
2023-01-03,Person_99,09:03-17:22,DANGER,3,50
2023-01-04,Person_2,09:02-17:04,DANGER,2,50
2023-01-04,Person_4,09:16-17:16,DANGER,16,100
2023-01-04,Person_7,09:17-16:48,DANGER,17,100
2023-01-04,Person_11,09:02-17:06,DANGER,2,50
2023-01-04,Person_12,09:22-17:42,DANGER,22,100
2023-01-04,Person_13,09:14-16:48,DANGER,14,50
2023-01-04,Person_17,09:14-17:01,DANGER,14,50
2023-01-04,Person_20,09:02-16:53,DANGER,2,50
2023-01-04,Person_21,09:19-16:56,DANGER,19,100
2023-01-04,Person_22,09:12-17:17,DANGER,12,50
2023-01-04,Person_24,09:03-17:26,DANGER,3,50
2023-01-04,Person_25,09:14-17:04,DANGER,14,50
2023-01-04,Person_26,09:14-16:51,DANGER,14,50
2023-01-04,Person_29,09:23-17:28,DANGER,23,100
2023-01-04,Person_30,09:07-17:19,DANGER,7,50
2023-01-04,Person_33,09:04-16:48,DANGER,4,50
2023-01-04,Person_35,09:08-17:32,DANGER,8,50
2023-01-04,Person_38,09:15-16:29,DANGER,15,50
2023-01-04,Person_39,09:10-16:51,DANGER,10,50
2023-01-04,Person_43,09:17-17:12,DANGER,17,100
2023-01-04,Person_44,09:06-17:05,DANGER,6,50
2023-01-04,Person_48,09:08-16:58,DANGER,8,50
2023-01-04,Person_52,09:06-16:59,DANGER,6,50
2023-01-04,Person_53,09:07-17:12,DANGER,7,50
2023-01-04,Person_55,09:06-17:07,DANGER,6,50
2023-01-04,Person_56,09:12-16:44,DANGER,12,50
2023-01-04,Person_57,09:16-16:29,DANGER,16,100
2023-01-04,Person_60,09:30-17:07,DANGER,30,100
2023-01-04,Person_61,09:19-17:18,DANGER,19,100
2023-01-04,Person_65,09:06-17:00,DANGER,6,50
2023-01-04,Person_66,09:25-17:07,DANGER,25,100
2023-01-04,Person_69,09:11-16:43,DANGER,11,50
2023-01-04,Person_70,09:13-16:47,DANGER,13,50
2023-01-04,Person_73,09:17-17:08,DANGER,17,100
2023-01-04,Person_74,09:10-16:43,DANGER,10,50
2023-01-04,Person_75,09:15-16:48,DANGER,15,50
2023-01-04,Person_78,09:04-17:01,DANGER,4,50
2023-01-04,Person_79,09:05-16:56,DANGER,5,50
2023-01-04,Person_82,09:19-16:42,DANGER,19,100
2023-01-04,Person_83,09:14-16:43,DANGER,14,50
2023-01-04,Person_84,09:09-17:24,DANGER,9,50
2023-01-04,Person_85,09:02-17:06,DANGER,2,50
2023-01-04,Person_87,09:03-16:50,DANGER,3,50
2023-01-04,Person_88,09:05-16:50,DANGER,5,50
2023-01-04,Person_92,09:11-17:21,DANGER,11,50
2023-01-04,Person_97,09:12-17:18,DANGER,12,50
2023-01-04,Person_99,09:11-17:22,DANGER,11,50
2023-01-05,Person_2,09:10-16:45,DANGER,10,50
2023-01-05,Person_3,09:13-16:41,DANGER,13,50
2023-01-05,Person_4,09:01-17:03,DANGER,1,50
2023-01-05,Person_7,09:06-16:44,DANGER,6,50
2023-01-05,Person_8,09:06-17:00,DANGER,6,50
2023-01-05,Person_12,09:13-17:30,DANGER,13,50
2023-01-05,Person_13,09:13-16:45,DANGER,13,50
2023-01-05,Person_20,09:16-16:56,DANGER,16,100
2023-01-05,Person_22,09:15-16:57,DANGER,15,50
2023-01-05,Person_26,09:06-16:51,DANGER,6,50
2023-01-05,Person_34,09:06-17:10,DANGER,6,50
2023-01-05,Person_35,09:07-17:03,DANGER,7,50
2023-01-05,Person_38,09:11-16:32,DANGER,11,50
2023-01-05,Person_39,09:12-16:57,DANGER,12,50
2023-01-05,Person_44,09:14-17:01,DANGER,14,50
2023-01-05,Person_48,09:05-17:21,DANGER,5,50
2023-01-05,Person_52,09:04-16:58,DANGER,4,50
2023-01-05,Person_53,09:10-16:57,DANGER,10,50
2023-01-05,Person_55,09:14-17:18,DANGER,14,50
2023-01-05,Person_56,09:22-16:54,DANGER,22,100
2023-01-05,Person_57,09:08-16:57,DANGER,8,50
2023-01-05,Person_61,09:05-17:20,DANGER,5,50
2023-01-05,Person_65,09:03-17:03,DANGER,3,50
2023-01-05,Person_66,09:12-17:02,DANGER,12,50
2023-01-05,Person_70,09:13-17:03,DANGER,13,50
2023-01-05,Person_73,09:08-17:08,DANGER,8,50
2023-01-05,Person_74,09:14-17:25,DANGER,14,50
2023-01-05,Person_75,09:29-16:46,DANGER,29,100
2023-01-05,Person_77,09:09-16:45,DANGER,9,50
2023-01-05,Person_78,09:04-17:00,DANGER,4,50
2023-01-05,Person_79,09:12-17:14,DANGER,12,50
2023-01-05,Person_82,09:26-16:54,DANGER,26,100
2023-01-05,Person_83,09:16-16:55,DANGER,16,100
2023-01-05,Person_84,09:13-17:27,DANGER,13,50
2023-01-05,Person_86,09:16-16:55,DANGER,16,100
2023-01-05,Person_87,09:02-17:01,DANGER,2,50
2023-01-05,Person_92,09:08-17:08,DANGER,8,50
2023-01-05,Person_94,09:02-17:09,DANGER,2,50
2023-01-05,Person_97,09:17-17:28,DANGER,17,100
2023-01-05,Person_98,09:07-17:03,DANGER,7,50
2023-01-05,Person_99,09:02-17:07,DANGER,2,50
2023-01-06,Person_2,09:06-17:03,DANGER,6,50
2023-01-06,Person_3,09:25-17:33,DANGER,25,100
2023-01-06,Person_4,09:46-17:07,DANGER,46,200
2023-01-06,Person_10,09:13-17:08,DANGER,13,50
2023-01-06,Person_11,09:02-17:16,DANGER,2,50
2023-01-06,Person_12,09:32-17:12,DANGER,32,200
2023-01-06,Person_13,09:18-16:45,DANGER,18,100
2023-01-06,Person_16,09:07-17:00,DANGER,7,50
2023-01-06,Person_17,09:21-17:10,DANGER,21,100
2023-01-06,Person_19,09:01-16:44,DANGER,1,50
2023-01-06,Person_21,09:12-16:59,DANGER,12,50
2023-01-06,Person_22,09:15-17:19,DANGER,15,50
2023-01-06,Person_24,09:03-17:20,DANGER,3,50
2023-01-06,Person_26,09:12-16:52,DANGER,12,50
2023-01-06,Person_29,09:12-17:25,DANGER,12,50
2023-01-06,Person_30,09:06-17:11,DANGER,6,50
2023-01-06,Person_33,09:07-16:49,DANGER,7,50
2023-01-06,Person_35,09:07-16:51,DANGER,7,50
2023-01-06,Person_39,09:08-16:53,DANGER,8,50
2023-01-06,Person_41,09:01-17:10,DANGER,1,50
2023-01-06,Person_42,09:10-17:14,DANGER,10,50
2023-01-06,Person_44,09:26-16:57,DANGER,26,100
2023-01-06,Person_45,09:05-16:38,DANGER,5,50
2023-01-06,Person_47,09:17-17:02,DANGER,17,100
2023-01-06,Person_48,09:09-16:57,DANGER,9,50
2023-01-06,Person_52,09:04-17:01,DANGER,4,50
2023-01-06,Person_53,09:19-17:04,DANGER,19,100
2023-01-06,Person_56,09:01-16:38,DANGER,1,50
2023-01-06,Person_57,09:10-16:38,DANGER,10,50
2023-01-06,Person_61,09:08-17:09,DANGER,8,50
2023-01-06,Person_64,09:06-16:38,DANGER,6,50
2023-01-06,Person_65,09:07-17:00,DANGER,7,50
2023-01-06,Person_66,09:14-17:10,DANGER,14,50
2023-01-06,Person_70,09:10-17:18,DANGER,10,50
2023-01-06,Person_73,09:01-17:02,DANGER,1,50
2023-01-06,Person_74,09:05-17:11,DANGER,5,50
2023-01-06,Person_75,09:11-16:48,DANGER,11,50
2023-01-06,Person_78,09:05-17:02,DANGER,5,50
2023-01-06,Person_79,09:14-17:09,DANGER,14,50
2023-01-06,Person_84,09:11-16:52,DANGER,11,50
2023-01-06,Person_87,09:07-16:51,DANGER,7,50
2023-01-06,Person_88,09:15-16:46,DANGER,15,50
2023-01-06,Person_92,09:03-17:17,DANGER,3,50
2023-01-06,Person_94,09:06-17:16,DANGER,6,50
2023-01-06,Person_95,09:09-17:02,DANGER,9,50
2023-01-06,Person_96,09:06-17:11,DANGER,6,50
2023-01-06,Person_97,09:15-17:08,DANGER,15,50
2023-01-06,Person_98,09:10-17:08,DANGER,10,50
2023-01-07,Person_1,09:05-16:51,DANGER,5,50
2023-01-07,Person_2,09:13-17:19,DANGER,13,50
2023-01-07,Person_4,09:48-17:04,DANGER,48,200
2023-01-07,Person_8,09:01-16:36,DANGER,1,50
2023-01-07,Person_10,09:03-17:04,DANGER,3,50
2023-01-07,Person_12,09:04-17:22,DANGER,4,50
2023-01-07,Person_13,09:10-16:49,DANGER,10,50
2023-01-07,Person_15,09:06-17:08,DANGER,6,50
2023-01-07,Person_17,09:10-17:13,DANGER,10,50
2023-01-07,Person_19,09:04-16:54,DANGER,4,50
2023-01-07,Person_22,09:14-17:21,DANGER,14,50
2023-01-07,Person_25,09:23-16:55,DANGER,23,100
2023-01-07,Person_26,09:09-16:58,DANGER,9,50
2023-01-07,Person_29,09:09-17:18,DANGER,9,50
2023-01-07,Person_30,09:19-17:08,DANGER,19,100
2023-01-07,Person_32,09:02-16:46,DANGER,2,50
2023-01-07,Person_34,09:02-17:01,DANGER,2,50
2023-01-07,Person_35,09:11-17:18,DANGER,11,50
2023-01-07,Person_39,09:05-16:54,DANGER,5,50
2023-01-07,Person_43,09:15-17:18,DANGER,15,50
2023-01-07,Person_44,09:13-16:45,DANGER,13,50
2023-01-07,Person_48,09:05-17:13,DANGER,5,50
2023-01-07,Person_50,09:10-16:34,DANGER,10,50
2023-01-07,Person_51,09:26-17:01,DANGER,26,100
2023-01-07,Person_52,09:06-16:58,DANGER,6,50
2023-01-07,Person_53,09:11-17:05,DANGER,11,50
2023-01-07,Person_55,09:04-16:48,DANGER,4,50
2023-01-07,Person_56,09:04-16:50,DANGER,4,50
2023-01-07,Person_57,09:12-16:51,DANGER,12,50
2023-01-07,Person_58,09:10-17:01,DANGER,10,50
2023-01-07,Person_60,09:01-17:13,DANGER,1,50
2023-01-07,Person_61,09:11-17:14,DANGER,11,50
2023-01-07,Person_62,09:02-16:45,DANGER,2,50
2023-01-07,Person_64,09:06-16:37,DANGER,6,50
2023-01-07,Person_65,09:06-17:02,DANGER,6,50
2023-01-07,Person_66,09:15-17:04,DANGER,15,50
2023-01-07,Person_69,09:25-16:39,DANGER,25,100
2023-01-07,Person_70,09:08-17:04,DANGER,8,50
2023-01-07,Person_71,09:05-17:01,DANGER,5,50
2023-01-07,Person_73,09:21-17:11,DANGER,21,100
2023-01-07,Person_74,09:11-17:02,DANGER,11,50
2023-01-07,Person_75,09:22-16:46,DANGER,22,100
2023-01-07,Person_79,09:18-17:17,DANGER,18,100
2023-01-07,Person_81,09:04-16:33,DANGER,4,50
2023-01-07,Person_83,09:05-16:40,DANGER,5,50
2023-01-07,Person_84,09:23-17:03,DANGER,23,100
2023-01-07,Person_85,09:15-17:09,DANGER,15,50
2023-01-07,Person_87,09:08-16:52,DANGER,8,50
2023-01-07,Person_88,09:14-16:54,DANGER,14,50
2023-01-07,Person_90,09:10-17:07,DANGER,10,50
2023-01-07,Person_92,09:17-17:22,DANGER,17,100
2023-01-07,Person_96,09:08-16:47,DANGER,8,50
2023-01-07,Person_99,09:01-17:15,DANGER,1,50
2023-01-08,Person_3,09:20-16:59,DANGER,20,100
2023-01-08,Person_7,09:04-16:50,DANGER,4,50
2023-01-08,Person_8,09:11-16:52,DANGER,11,50
2023-01-08,Person_12,09:24-17:04,DANGER,24,100
2023-01-08,Person_13,09:15-16:50,DANGER,15,50
2023-01-08,Person_15,09:09-17:02,DANGER,9,50
2023-01-08,Person_16,09:05-17:23,DANGER,5,50
2023-01-08,Person_21,09:15-16:53,DANGER,15,50
2023-01-08,Person_22,09:17-17:16,DANGER,17,100
2023-01-08,Person_26,09:12-16:49,DANGER,12,50
2023-01-08,Person_33,09:01-16:51,DANGER,1,50
2023-01-08,Person_35,09:17-16:54,DANGER,17,100
2023-01-08,Person_36,09:01-17:15,DANGER,1,50
2023-01-08,Person_39,09:10-16:53,DANGER,10,50
2023-01-08,Person_43,09:24-17:00,DANGER,24,100
2023-01-08,Person_44,09:07-16:46,DANGER,7,50
2023-01-08,Person_47,09:07-17:11,DANGER,7,50
2023-01-08,Person_48,09:14-17:24,DANGER,14,50
2023-01-08,Person_51,09:01-17:00,DANGER,1,50
2023-01-08,Person_52,09:11-16:53,DANGER,11,50
2023-01-08,Person_53,09:14-17:07,DANGER,14,50
2023-01-08,Person_54,09:08-17:07,DANGER,8,50
2023-01-08,Person_55,09:11-17:39,DANGER,11,50
2023-01-08,Person_57,09:06-16:41,DANGER,6,50
2023-01-08,Person_60,09:10-16:58,DANGER,10,50
2023-01-08,Person_61,09:03-17:02,DANGER,3,50
2023-01-08,Person_63,09:02-16:48,DANGER,2,50
2023-01-08,Person_64,09:02-16:52,DANGER,2,50
2023-01-08,Person_65,09:03-17:02,DANGER,3,50
2023-01-08,Person_66,09:14-17:04,DANGER,14,50
2023-01-08,Person_68,09:07-17:27,DANGER,7,50
2023-01-08,Person_69,09:11-16:58,DANGER,11,50
2023-01-08,Person_70,09:11-17:07,DANGER,11,50
2023-01-08,Person_73,09:17-17:04,DANGER,17,100
2023-01-08,Person_74,09:06-17:02,DANGER,6,50
2023-01-08,Person_75,09:16-16:52,DANGER,16,100
2023-01-08,Person_77,09:22-16:56,DANGER,22,100
2023-01-08,Person_78,09:02-17:05,DANGER,2,50
2023-01-08,Person_79,09:17-17:02,DANGER,17,100
2023-01-08,Person_82,09:06-16:51,DANGER,6,50
2023-01-08,Person_83,09:10-17:05,DANGER,10,50
2023-01-08,Person_84,09:17-17:29,DANGER,17,100
2023-01-08,Person_86,09:04-17:19,DANGER,4,50
2023-01-08,Person_87,09:14-16:57,DANGER,14,50
2023-01-08,Person_88,09:16-16:50,DANGER,16,100
2023-01-08,Person_90,09:04-16:59,DANGER,4,50
2023-01-08,Person_97,09:12-17:26,DANGER,12,50
2023-01-09,Person_3,09:12-16:46,DANGER,12,50
2023-01-09,Person_7,09:20-16:55,DANGER,20,100
2023-01-09,Person_11,09:01-17:03,DANGER,1,50
2023-01-09,Person_13,09:09-16:50,DANGER,9,50
2023-01-09,Person_15,09:02-16:48,DANGER,2,50
2023-01-09,Person_16,09:07-17:16,DANGER,7,50
2023-01-09,Person_17,09:07-17:06,DANGER,7,50
2023-01-09,Person_21,09:34-17:04,DANGER,34,200
2023-01-09,Person_22,09:21-16:52,DANGER,21,100
2023-01-09,Person_24,09:04-17:15,DANGER,4,50
2023-01-09,Person_25,09:04-16:54,DANGER,4,50
2023-01-09,Person_26,09:14-16:51,DANGER,14,50
2023-01-09,Person_29,09:10-17:20,DANGER,10,50
2023-01-09,Person_35,09:13-17:09,DANGER,13,50
2023-01-09,Person_38,09:09-16:45,DANGER,9,50
2023-01-09,Person_39,09:12-16:52,DANGER,12,50
2023-01-09,Person_42,09:11-16:56,DANGER,11,50
2023-01-09,Person_44,09:18-16:45,DANGER,18,100
2023-01-09,Person_46,09:08-17:00,DANGER,8,50
2023-01-09,Person_48,09:15-17:27,DANGER,15,50
2023-01-09,Person_51,09:08-16:41,DANGER,8,50
2023-01-09,Person_52,09:11-17:00,DANGER,11,50
2023-01-09,Person_53,09:22-17:00,DANGER,22,100
2023-01-09,Person_54,09:01-17:30,DANGER,1,50
2023-01-09,Person_55,09:15-17:18,DANGER,15,50
2023-01-09,Person_57,09:14-16:51,DANGER,14,50
2023-01-09,Person_61,09:17-17:02,DANGER,17,100
2023-01-09,Person_65,09:10-17:02,DANGER,10,50
2023-01-09,Person_66,09:13-16:57,DANGER,13,50
2023-01-09,Person_69,09:36-16:57,DANGER,36,200
2023-01-09,Person_70,09:06-16:57,DANGER,6,50
2023-01-09,Person_73,09:10-17:10,DANGER,10,50
2023-01-09,Person_75,09:16-16:48,DANGER,16,100
2023-01-09,Person_76,09:01-17:05,DANGER,1,50
2023-01-09,Person_77,09:19-16:47,DANGER,19,100
2023-01-09,Person_79,09:17-17:06,DANGER,17,100
2023-01-09,Person_82,09:16-16:54,DANGER,16,100
2023-01-09,Person_83,09:09-17:05,DANGER,9,50
2023-01-09,Person_84,09:14-16:53,DANGER,14,50
2023-01-09,Person_86,09:15-16:52,DANGER,15,50
2023-01-09,Person_87,09:08-16:45,DANGER,8,50
2023-01-09,Person_88,09:15-16:43,DANGER,15,50
2023-01-09,Person_90,09:08-17:07,DANGER,8,50
2023-01-09,Person_92,09:13-16:59,DANGER,13,50
2023-01-09,Person_94,09:03-16:40,DANGER,3,50
2023-01-09,Person_95,09:03-16:56,DANGER,3,50
2023-01-09,Person_96,09:09-17:00,DANGER,9,50
2023-01-09,Person_97,09:06-17:18,DANGER,6,50
2023-01-09,Person_99,09:04-16:54,DANGER,4,50
2023-01-10,Person_3,09:02-17:30,DANGER,2,50
2023-01-10,Person_4,09:12-16:56,DANGER,12,50
2023-01-10,Person_6,09:06-17:24,DANGER,6,50
2023-01-10,Person_7,09:09-16:50,DANGER,9,50
2023-01-10,Person_8,09:19-16:55,DANGER,19,100
2023-01-10,Person_11,09:01-17:11,DANGER,1,50
2023-01-10,Person_12,09:16-17:11,DANGER,16,100
2023-01-10,Person_13,09:16-16:50,DANGER,16,100
2023-01-10,Person_22,09:17-16:50,DANGER,17,100
2023-01-10,Person_24,09:03-17:16,DANGER,3,50
2023-01-10,Person_25,09:16-16:32,DANGER,16,100
2023-01-10,Person_26,09:12-16:53,DANGER,12,50
2023-01-10,Person_30,09:06-16:57,DANGER,6,50
2023-01-10,Person_33,09:16-16:53,DANGER,16,100
2023-01-10,Person_34,09:04-16:55,DANGER,4,50
2023-01-10,Person_35,09:13-17:22,DANGER,13,50
2023-01-10,Person_37,09:07-17:00,DANGER,7,50
2023-01-10,Person_38,09:18-16:45,DANGER,18,100
2023-01-10,Person_39,09:10-16:54,DANGER,10,50
2023-01-10,Person_42,09:13-17:00,DANGER,13,50
2023-01-10,Person_43,09:11-17:25,DANGER,11,50
2023-01-10,Person_44,09:21-17:01,DANGER,21,100
2023-01-10,Person_47,09:23-17:06,DANGER,23,100
2023-01-10,Person_48,09:10-16:43,DANGER,10,50
2023-01-10,Person_51,09:12-17:03,DANGER,12,50
2023-01-10,Person_52,09:06-16:59,DANGER,6,50
2023-01-10,Person_53,09:13-16:57,DANGER,13,50
2023-01-10,Person_57,09:10-16:49,DANGER,10,50
2023-01-10,Person_61,09:07-17:11,DANGER,7,50
2023-01-10,Person_65,09:02-17:03,DANGER,2,50
2023-01-10,Person_66,09:08-17:09,DANGER,8,50
2023-01-10,Person_68,09:09-17:33,DANGER,9,50
2023-01-10,Person_69,09:10-16:52,DANGER,10,50
2023-01-10,Person_70,09:15-16:40,DANGER,15,50
2023-01-10,Person_74,09:02-17:20,DANGER,2,50
2023-01-10,Person_75,09:28-16:48,DANGER,28,100
2023-01-10,Person_78,09:03-17:02,DANGER,3,50
2023-01-10,Person_79,09:13-17:05,DANGER,13,50
